"Invalid gift code. Please try again. ","Invalid gift code. Please try again. "
"You have %d times left to enter gift codes.","You have %d times left to enter gift codes."
"Gift Voucher ","Gift Voucher "
"You cannot apply both gift code and coupon code to get discount.","You cannot apply both gift code and coupon code to get discount."
"Invalid gift code. ","Invalid gift code. "
"Check Gift Card Balance","Check Gift Card Balance"
"Gift card was successfully removed","Gift card was successfully removed"
"The gift code usage has exceeded the number of users allowed.","The gift code usage has exceeded the number of users allowed."
"This gift code has already existed in your list.","This gift code has already existed in your list."
"The gift code has been added to your list successfully.","The gift code has been added to your list successfully."
"%s - The current balance of this gift code is 0.","%s - The current balance of this gift code is 0."
"Redeem to Gift Card credit balance","Redeem to Gift Card credit balance"
"Redeemed by %s","Redeemed by %s"
"The Gift Card email has been failed to send.","The Gift Card email has been failed to send."
"The Gift Card email has been sent successfully.","The Gift Card email has been sent successfully."
"The Gift Card email cannot be sent to your friend!","The Gift Card email cannot be sent to your friend!"
"Image Saving Error!","Image Saving Error!"
"Gift Card ""%s"" has been removed successfully!","Gift Card ""%s"" has been removed successfully!"
"Gift card ""%s"" not found!","Gift card ""%s"" not found!"
"You have %d time(s) remaining to re-enter your Gift Card code.","You have %d time(s) remaining to re-enter your Gift Card code."
"You have %d time(s) remaining to re-enter Gift Card code.","You have %d time(s) remaining to re-enter Gift Card code."
"Gift code ""%s"" is not avaliable","Gift code ""%s"" is not avaliable"
"Gift card ""%s"" was successfully redeemed","Gift card ""%s"" was successfully redeemed"
"Gift code ""%s"" has usage conditions, you cannot redeem it to Gift Card credit.","Gift code ""%s"" has usage conditions, you cannot redeem it to Gift Card credit."
"Please note that gift code ""%s"" has been sent to your friend. When using, both you and your friend will share the same balance in the gift code.","Please note that gift code ""%s"" has been sent to your friend. When using, both you and your friend will share the same balance in the gift code."
"Gift code ""%s"" has been applied successfully.","Gift code ""%s"" has been applied successfully."
"This Gift card limits the number of users","This Gift card limits the number of users"
"Gift code ""%s"" is no longer available to use.","Gift code ""%s"" is no longer available to use."
"Your Gift Card(s) has been applied successfully.","Your Gift Card(s) has been applied successfully."
"Gift card ""%s"" is invalid.","Gift card ""%s"" is invalid."
"Gift card ""%s"" is not added.","Gift card ""%s"" is not added."
"Your Gift Card credit balance must be greater than 0.","Your Gift Card credit balance must be greater than 0."
"The balance must be greater than 0.","The balance must be greater than 0."
"Invalid data","Invalid data"
"The email address of Gift Card recipient does not exist.","The email address of Gift Card recipient does not exist."
"Email of Gift card Purchaser does not exist.","Email of Gift card Purchaser does not exist."
"Customer ID does not exist.","Customer ID does not exist."
"This Gift card limits the number of users","This Gift card limits the number of users"
" - The current balance of this gift code is 0."," - The current balance of this gift code is 0."
"Customer Redemption","Customer Redemption"
"Admin Update","Admin Update"
"Customer Spend","Customer Spend"
"Admin Refund","Admin Refund"
"Gift Card value","Gift Card value"
"Gift Card template","Gift Card template"
"Sender name","Sender name"
"Recipient name","Recipient name"
"Recipient email address","Recipient email address"
"Ship to recipient","Ship to recipient"
"Recipient address","Recipient address"
"Custom message","Custom message"
"Day to send","Day to send"
"Time zone","Time zone"
"Gift codes cannot be applied with coupon codes to get discount.","Gift codes cannot be applied with coupon codes to get discount."
"Spent on order %s","Spent on order %s"
"Used by %s %s","Used by %s %s"
"Gift Card Discount","Gift Card Discount"
"Gift Card Credit","Gift Card Credit"
"Active when order is complete","Active when order is complete"
"Refund order %s","Refund order %s"
"Refund from order %s","Refund from order %s"
"Created for order %s","Created for order %s"
"Created by customer %s %s","Created by customer %s %s"
"Gift Card Code","Gift Card Code"
"Please enter Gift Card information.","Please enter Gift Card information."
"Gift Card credit","Gift Card credit"
"Gift Card Code","Gift Card Code"
"Added Date","Added Date"
"Are you sure?","Are you sure?"
"Balance Change","Balance Change"
"Order","Order"
"Current Balance","Current Balance"
"Changed Time ","Changed Time "
"Gift Card credit","Gift Card credit"
"Refund to your Gift card code","Refund to your Gift card code"
"Refund to your credit balance","Refund to your credit balance"
"Gift Card value","Gift Card value"
"Gift Card template","Gift Card template"
"Sender name","Sender name"
"Recipient name","Recipient name"
"Recipient email address","Recipient email address"
"Ship to recipient","Ship to recipient"
"Recipient address","Recipient address"
"Custom message","Custom message"
"Day to send","Day to send"
"Select time zone","Select time zone"
"Use custom image","Use custom image"
"Recipient email","Recipient email"
"Day To Send","Day To Send"
"Sender Name","Sender Name"
"Giftcard Template","Giftcard Template"
"Send Gift Card to friend","Send Gift Card to friend"
"Email To Sender","Email To Sender"
"Amount","Amount"
"Giftcard Image","Giftcard Image"
"Use Custom Image","Use Custom Image"
"Notify when the recipient receives Gift Card.","Notify when the recipient receives Gift Card."
"The file uploaded has invalid format. Support jpg, jpeg, gif, png files only.","The file uploaded has invalid format. Support jpg, jpeg, gif, png files only."
"Exp: ","Exp: "
"From: ","From: "
"To: ","To: "
"Value ","Value "
"The gift code(s) has been used. You cannot apply a coupon code with gift codes to get discount.","The gift code(s) has been used. You cannot apply a coupon code with gift codes to get discount."
"An amount in your Gift Card credit has been used. You cannot apply a coupon code with Gift Card credit to get discount.","An amount in your Gift Card credit has been used. You cannot apply a coupon code with Gift Card credit to get discount."
"You cannot apply a coupon code with either gift codes or Gift Card credit at once to get discount.","You cannot apply a coupon code with either gift codes or Gift Card credit at once to get discount."
"A coupon code has been used. You cannot apply gift codes with the coupon to get discount.","A coupon code has been used. You cannot apply gift codes with the coupon to get discount."
"A coupon code has been used. You cannot apply gift codes or Gift Card credit with the coupon to get discount.","A coupon code has been used. You cannot apply gift codes or Gift Card credit with the coupon to get discount."
"Expired: ","Expired: "
"A coupon code has been used. You cannot apply Gift Card credit with the coupon to get discount.","A coupon code has been used. You cannot apply Gift Card credit with the coupon to get discount."
"Gift code ""%s"" was applied successfully.","Gift code ""%s"" was applied successfully."
