'Download Gift Cards List','Download Gift Cards List'
'Credit memo\'s total must be positive.','Credit memo\'s total must be positive.'
'The credit memo has been created.','The credit memo has been created.'
'Cannot save the credit memo.','Cannot save the credit memo.'
'Gift cards was successfully created','Gift cards was successfully created'
'Import Gift Cards from CSV','Import Gift Cards from CSV',
'Card Currency:','Card Currency:'
'Country:','Country:'
'State:','State:'
'City:','City:'
'Street:','Street:'
'ZIP:','ZIP:'
'Phone:','Phone:'
'Mail Delivery Date:','Mail Delivery Date:'
'Enter your Gift Card','Enter your Gift Card'
'applied from Gift Card','applied from Gift Card'
'Remaining card balance','Remaining card balance'
'Remove','Remove'
'Used Gift Cards','Used Gift Cards'
'Card Code','Card Code'
'Card Balance','Card Balance'
'Select amount','Select amount'
'Preview my gift card','Preview my gift card'
'Purchased Gift Cards','Purchased Gift Cards'
"Card","Card"
"Amount to use","Amount to use"
'My Gift Cards','My Gift Cards'
'Check Gift Card Balance','Check Gift Card Balance'
'Enter the Gift Card code','Enter the Gift Card code'
'Check','Check'
'Redeem','Redeem'
'Enter your Gift Card','Enter your Gift Card'
'Please enter a valid Gift Card code.','Please enter a valid Gift Card code.'
'Hello','Hello'
'You have received a','You have received a'
'from','from'
'This card may be redeemed on','This card may be redeemed on'
'website. Happy shopping','website. Happy shopping'
'Gift Card value','Gift Card value'
'Gift Card claim code','Gift Card claim code'
'To redeem and use you gift card','To redeem and use you gift card'
'Create an account and login into','Create an account and login into'
'Redeem the card in My Gift Cards page of My Account section','Redeem the card in My Gift Cards page of My Account section'
'Alternatively, you can redeem the card on My Cart page before proceeding to checkout','Alternatively, you can redeem the card on My Cart page before proceeding to checkout'
'If you have any questions please contact us at','If you have any questions please contact us at'
'Sorry but such card does not exists','Sorry but such card does not exists'
'Maybe already activated','Maybe already activated'
'Or maybe it was bought not by you','Or maybe it was bought not by you'
